config,query_id,query_type,keyword_accuracy,semantic_similarity,rouge_l,structured_score,composite_score
BM25-Only,Q014,failure_tracing,0.1776,0.4984,0.3686,0.5896,0.4517
BM25-Only,Q015,multi_hop,0.1402,0.2707,0.3409,0.4066,0.3059
BM25-Only,Q016,temporal,0.1471,0.2218,0.1856,0.8056,0.3785
BM25-Only,Q017,impact_analysis,0.4534,0.5676,0.3548,0.5735,0.5097
BM25-Only,Q018,error_code,0.0446,0.203,0.1078,0.7668,0.3294
BM25-Only,Q019,root_cause,0.3489,0.2947,0.4889,0.7442,0.4765
BM25-Only,Q020,failure_tracing,0.3569,0.595,0.375,0.5975,0.516
BM25-Only,Q021,multi_hop,0.1156,0.1474,0.138,0.694,0.3047
BM25-Only,Q022,temporal,0.564,0.7439,0.4381,0.5652,0.6021
BM25-Only,Q023,impact_analysis,0.2596,0.3876,0.1805,0.7087,0.4233
BM25-Only,Q024,error_code,0.4847,0.4539,0.4105,0.5522,0.4794
BM25-Only,Q025,root_cause,0.0,0.1553,0.1459,0.5877,0.2598
BM25-Only,Q026,failure_tracing,0.4365,0.4673,0.3419,0.6679,0.4978
BM25-Only,Q027,multi_hop,0.3721,0.6717,0.4643,0.7694,0.6146
BM25-Only,Q028,temporal,0.3218,0.2763,0.3274,0.4554,0.3471
BM25-Only,Q029,impact_analysis,0.7253,0.5079,0.4686,0.7988,0.6199
BM25-Only,Q030,error_code,0.2939,0.5403,0.404,0.3901,0.431
BM25-Only,Q031,root_cause,0.0521,0.2577,0.2283,0.6463,0.3376
BM25-Only,Q032,failure_tracing,0.3105,0.215,0.1997,0.6104,0.3449
BM25-Only,Q033,multi_hop,0.2041,0.4368,0.0931,0.5957,0.3808
BM25-Only,Q034,temporal,0.2804,0.4354,0.4277,0.7239,0.4972
BM25-Only,Q035,impact_analysis,0.4771,0.6062,0.3927,0.3338,0.4624
BM25-Only,Q036,error_code,0.0691,0.2443,0.3011,0.829,0.4048
BM25-Only,Q037,root_cause,0.2084,0.4603,0.3644,0.6769,0.4683
BM25-Only,Q038,failure_tracing,0.3733,0.4072,0.3585,0.8704,0.5313
BM25-Only,Q039,multi_hop,0.1856,0.2483,0.4102,0.5717,0.3683
BM25-Only,Q040,temporal,0.3766,0.635,0.3005,0.7079,0.5512
BM25-Only,Q041,impact_analysis,0.0759,0.2071,0.051,0.6528,0.2899
BM25-Only,Q042,error_code,0.3587,0.5864,0.3349,0.3951,0.4446
BM25-Only,Q043,root_cause,0.5744,0.5836,0.4961,0.7022,0.6003
BM25-Only,Q044,failure_tracing,0.5161,0.6736,0.5026,0.8983,0.6832
BM25-Only,Q045,multi_hop,0.6142,0.6454,0.5047,0.3783,0.5324
BM25-Only,Q046,temporal,0.0793,0.2661,0.1779,0.764,0.3698
BM25-Only,Q047,impact_analysis,0.1078,0.3702,0.1362,0.6458,0.3667
BM25-Only,Q048,error_code,0.3787,0.5578,0.5716,0.7531,0.5923
BM25-Only,Q049,root_cause,0.2186,0.4725,0.3352,0.6782,0.4687
BM25-Only,Q050,failure_tracing,0.3538,0.6122,0.2919,0.5676,0.496
BM25-Only,Q051,multi_hop,0.4499,0.4272,0.446,0.8045,0.5476
BM25-Only,Q052,temporal,0.2861,0.35,0.0804,0.5582,0.349
BM25-Only,Q053,impact_analysis,0.3891,0.5931,0.4873,0.6842,0.5687
BM25-Only,Q054,error_code,0.4712,0.4991,0.3103,0.6973,0.5166
BM25-Only,Q055,root_cause,0.3707,0.3723,0.5784,0.7056,0.5133
BM25-Only,Q056,failure_tracing,0.2691,0.3418,0.249,0.6061,0.3916
BM25-Only,Q057,multi_hop,0.4249,0.4762,0.5245,0.648,0.5297
BM25-Only,Q058,temporal,0.5574,0.4966,0.661,0.6274,0.5779
BM25-Only,Q059,impact_analysis,0.2772,0.5086,0.3026,0.6745,0.4824
BM25-Only,Q060,error_code,0.5032,0.5893,0.2891,0.9223,0.6162
BM25-Only,Q061,cross_scenario,0.0033,0.4069,0.1837,0.4547,0.316
BM25-Only,Q062,cross_scenario,0.4031,0.5336,0.43,0.6734,0.5352
BM25-Only,Q063,cross_scenario,0.3148,0.4619,0.4151,0.8371,0.543
BM25-Only,Q064,cross_scenario,0.2163,0.448,0.2159,0.8244,0.4797
BM25-Only,Q065,contrastive,0.3851,0.6779,0.7726,0.4515,0.585
Hybrid,Q001,root_cause,0.4496,0.5489,0.2363,0.703,0.5177
Hybrid,Q002,failure_tracing,0.2922,0.3595,0.5171,0.5038,0.4242
Hybrid,Q003,multi_hop,0.5237,0.3615,0.3708,0.3237,0.3764
Hybrid,Q004,temporal,0.073,0.3839,0.0379,0.6243,0.3402
Hybrid,Q005,impact_analysis,0.1446,0.0874,0.152,0.8665,0.3426
Hybrid,Q006,error_code,0.3472,0.5016,0.303,0.6153,0.4728
Hybrid,Q007,root_cause,0.1583,0.3471,0.3147,0.415,0.3327
Hybrid,Q008,failure_tracing,0.2863,0.4929,0.0919,0.5255,0.3915
Hybrid,Q009,multi_hop,0.2134,0.3194,0.3445,0.6234,0.3997
Hybrid,Q010,temporal,0.3937,0.3176,0.2542,0.6498,0.416
Hybrid,Q011,impact_analysis,0.4845,0.5312,0.3953,0.5479,0.502
Hybrid,Q012,error_code,0.3417,0.5386,0.3465,0.6068,0.4911
Hybrid,Q013,root_cause,0.259,0.6658,0.261,0.3422,0.4267
Hybrid,Q014,failure_tracing,0.0551,0.3771,0.1673,0.5723,0.3454
Hybrid,Q015,multi_hop,0.3682,0.3772,0.3345,0.8598,0.5121
Hybrid,Q016,temporal,0.1122,0.4136,0.3552,0.4076,0.3549
Hybrid,Q017,impact_analysis,0.5094,0.4175,0.1451,0.4986,0.4011
Hybrid,Q018,error_code,0.2966,0.5428,0.4332,0.5868,0.4971
Hybrid,Q019,root_cause,0.3018,0.4284,0.2804,0.6507,0.4465
Hybrid,Q020,failure_tracing,0.0894,0.3955,0.0928,0.6649,0.3699
Hybrid,Q021,multi_hop,0.2902,0.536,0.3354,0.7251,0.5157
Hybrid,Q022,temporal,0.5469,0.9159,0.5831,0.679,0.7229
Hybrid,Q023,impact_analysis,0.5115,0.4683,0.4632,0.689,0.54
Hybrid,Q024,error_code,0.3173,0.4638,0.2641,0.651,0.458
Hybrid,Q025,root_cause,0.219,0.5569,0.3995,0.7643,0.5369
Hybrid,Q026,failure_tracing,0.4583,0.4965,0.5073,0.6619,0.5426
Hybrid,Q027,multi_hop,0.56,0.4719,0.4974,0.4712,0.49
Hybrid,Q028,temporal,0.5188,0.4853,0.4721,0.6646,0.5415
Hybrid,Q029,impact_analysis,0.1858,0.2188,0.3454,0.7058,0.3853
Hybrid,Q030,error_code,0.4528,0.4371,0.2585,0.5983,0.4521
Hybrid,Q031,root_cause,0.6356,0.5778,0.5389,0.5655,0.575
Hybrid,Q032,failure_tracing,0.4822,0.2984,0.3436,0.5742,0.4177
Hybrid,Q033,multi_hop,0.1079,0.3908,0.1906,0.8718,0.4526
Hybrid,Q034,temporal,0.2261,0.1563,0.3684,0.5864,0.3382
Hybrid,Q035,impact_analysis,0.4916,0.6481,0.4991,0.7909,0.6377
Hybrid,Q036,error_code,0.2733,0.3675,0.2097,0.8331,0.4615
Hybrid,Q037,root_cause,0.555,0.5694,0.515,0.8052,0.6271
Hybrid,Q038,failure_tracing,0.1294,0.2038,0.2725,0.5315,0.3047
Hybrid,Q039,multi_hop,0.0,0.2341,0.1775,0.395,0.2359
Hybrid,Q040,temporal,0.3438,0.3628,0.4815,0.7529,0.5007
Hybrid,Q041,impact_analysis,0.4707,0.5249,0.4701,0.5759,0.5211
Hybrid,Q042,error_code,0.3676,0.6334,0.417,0.6548,0.5566
Hybrid,Q043,root_cause,0.4237,0.6417,0.3843,0.8538,0.6212
Hybrid,Q044,failure_tracing,0.6156,0.4357,0.6399,0.5641,0.542
Hybrid,Q045,multi_hop,0.1893,0.3345,0.0871,0.5518,0.3284
Hybrid,Q046,temporal,0.2866,0.2972,0.243,0.5994,0.3754
Hybrid,Q047,impact_analysis,0.3966,0.6029,0.4603,0.6662,0.5624
Hybrid,Q048,error_code,0.2631,0.2764,0.2001,0.8898,0.4432
Hybrid,Q049,root_cause,0.1911,0.2764,0.425,0.5835,0.3855
Hybrid,Q050,failure_tracing,0.0493,0.2799,0.3107,0.8108,0.4107
Hybrid,Q051,multi_hop,0.1928,0.3524,0.244,0.6116,0.3845
Hybrid,Q052,temporal,0.4558,0.564,0.5407,0.6206,0.5601
Hybrid,Q053,impact_analysis,0.417,0.5745,0.603,0.6772,0.5874
Hybrid,Q054,error_code,0.1673,0.3878,0.1314,0.2254,0.2547
Hybrid,Q055,root_cause,0.0942,0.3531,0.2341,0.5428,0.3474
Hybrid,Q056,failure_tracing,0.4925,0.5747,0.4634,0.7892,0.6045
Hybrid,Q057,multi_hop,0.0686,0.3015,0.1432,0.7685,0.375
Hybrid,Q058,temporal,0.2097,0.3498,0.3415,0.5484,0.3867
Hybrid,Q059,impact_analysis,0.4013,0.4128,0.3928,0.6219,0.4698
Hybrid,Q060,error_code,0.4167,0.5576,0.4071,0.3445,0.4424
Hybrid,Q061,cross_scenario,0.0,0.1981,0.2388,0.5754,0.2897
Hybrid,Q062,cross_scenario,0.1312,0.2992,0.3409,0.5132,0.3465
Hybrid,Q063,cross_scenario,0.1132,0.1328,0.1691,0.5474,0.2615
Hybrid,Q064,cross_scenario,0.3521,0.3453,0.3269,0.6937,0.4472
Hybrid,Q065,contrastive,0.5098,0.5548,0.501,0.892,0.6385
Hybrid+Rerank,Q001,root_cause,0.5024,0.5103,0.4819,0.5436,0.5134
Hybrid+Rerank,Q002,failure_tracing,0.5215,0.4613,0.3885,0.5482,0.4819
Hybrid+Rerank,Q003,multi_hop,0.4568,0.5672,0.6878,0.5126,0.5584
Hybrid+Rerank,Q004,temporal,0.1323,0.2794,0.2304,0.6794,0.3675
Hybrid+Rerank,Q005,impact_analysis,0.1519,0.3728,0.401,0.256,0.3103
Hybrid+Rerank,Q006,error_code,0.7736,0.4277,0.4882,0.7846,0.5988
Hybrid+Rerank,Q007,root_cause,0.1769,0.1683,0.0,0.7057,0.2971
Hybrid+Rerank,Q008,failure_tracing,0.4558,0.5527,0.3391,0.4722,0.4713
Hybrid+Rerank,Q009,multi_hop,0.2481,0.2825,0.295,0.5261,0.3529
Hybrid+Rerank,Q010,temporal,0.1702,0.4114,0.006,0.4915,0.3182
Hybrid+Rerank,Q011,impact_analysis,0.2786,0.282,0.2704,0.5393,0.3564
Hybrid+Rerank,Q012,error_code,0.2213,0.4785,0.1461,0.6268,0.418
Hybrid+Rerank,Q013,root_cause,0.2718,0.4801,0.5384,0.5477,0.4808
Hybrid+Rerank,Q014,failure_tracing,0.367,0.5091,0.2192,0.2612,0.3554
Hybrid+Rerank,Q015,multi_hop,0.221,0.484,0.333,0.7968,0.5082
Hybrid+Rerank,Q016,temporal,0.5412,0.4099,0.4914,0.9003,0.593
Hybrid+Rerank,Q017,impact_analysis,0.4421,0.5656,0.4742,0.6213,0.5455
Hybrid+Rerank,Q018,error_code,0.4035,0.3036,0.488,0.5284,0.4229
Hybrid+Rerank,Q019,root_cause,0.4215,0.5634,0.2813,0.4431,0.4496
Hybrid+Rerank,Q020,failure_tracing,0.267,0.5824,0.3468,0.838,0.5646
Hybrid+Rerank,Q021,multi_hop,0.1939,0.357,0.1005,0.7538,0.4003
Hybrid+Rerank,Q022,temporal,0.4861,0.4709,0.5056,0.6238,0.526
Hybrid+Rerank,Q023,impact_analysis,0.3221,0.2581,0.3227,0.9494,0.488
Hybrid+Rerank,Q024,error_code,0.285,0.4802,0.3523,0.7813,0.5157
Hybrid+Rerank,Q025,root_cause,0.5475,0.6038,0.5211,0.4563,0.5345
Hybrid+Rerank,Q026,failure_tracing,0.3715,0.501,0.5024,0.4946,0.4799
Hybrid+Rerank,Q027,multi_hop,0.3506,0.6313,0.4205,0.4868,0.5037
Hybrid+Rerank,Q028,temporal,0.4267,0.6257,0.4297,0.7339,0.5891
Hybrid+Rerank,Q029,impact_analysis,0.3779,0.4417,0.3777,0.694,0.495
Hybrid+Rerank,Q030,error_code,0.382,0.5141,0.2075,0.4518,0.4143
Hybrid+Rerank,Q031,root_cause,0.178,0.4683,0.2985,0.5414,0.4127
Hybrid+Rerank,Q032,failure_tracing,0.433,0.3468,0.2693,0.3167,0.3352
Hybrid+Rerank,Q033,multi_hop,0.0,0.2378,0.1115,0.475,0.2481
Hybrid+Rerank,Q034,temporal,0.4316,0.5008,0.4593,0.934,0.6121
Hybrid+Rerank,Q035,impact_analysis,0.4069,0.3127,0.4725,0.766,0.4948
Hybrid+Rerank,Q036,error_code,0.6563,0.5503,0.5479,0.5514,0.566
Hybrid+Rerank,Q037,root_cause,0.2984,0.4513,0.5057,0.7108,0.5171
Hybrid+Rerank,Q038,failure_tracing,0.3565,0.5249,0.357,0.3974,0.4278
Hybrid+Rerank,Q039,multi_hop,0.1195,0.2967,0.3575,0.3909,0.3105
Hybrid+Rerank,Q040,temporal,0.0656,0.1627,0.1877,0.4723,0.246
Hybrid+Rerank,Q041,impact_analysis,0.3054,0.3381,0.2812,0.4152,0.345
Hybrid+Rerank,Q042,error_code,0.4511,0.4038,0.4719,0.4239,0.4305
Hybrid+Rerank,Q043,root_cause,0.1796,0.166,0.1586,0.7298,0.3357
Hybrid+Rerank,Q044,failure_tracing,0.1095,0.2921,0.185,0.6267,0.3436
Hybrid+Rerank,Q045,multi_hop,0.0212,0.0532,0.1739,0.6775,0.2599
Hybrid+Rerank,Q046,temporal,0.4191,0.4523,0.5039,0.4509,0.4572
Hybrid+Rerank,Q047,impact_analysis,0.3867,0.6174,0.4553,0.5695,0.536
Hybrid+Rerank,Q048,error_code,0.2749,0.4126,0.323,0.803,0.4911
Hybrid+Rerank,Q049,root_cause,0.3955,0.3581,0.2894,0.7754,0.4752
Hybrid+Rerank,Q050,failure_tracing,0.5999,0.5385,0.5916,0.8749,0.6592
Hybrid+Rerank,Q051,multi_hop,0.1773,0.3082,0.3315,0.4469,0.3348
Hybrid+Rerank,Q052,temporal,0.3911,0.5752,0.449,0.691,0.5571
Hybrid+Rerank,Q053,impact_analysis,0.4492,0.4421,0.2462,0.6955,0.48
Hybrid+Rerank,Q054,error_code,0.2484,0.1514,0.2131,0.7612,0.3612
Hybrid+Rerank,Q055,root_cause,0.4023,0.5144,0.6101,0.7738,0.5945
Hybrid+Rerank,Q056,failure_tracing,0.6056,0.5349,0.5054,0.6129,0.563
Hybrid+Rerank,Q057,multi_hop,0.3264,0.256,0.2133,0.5359,0.342
Hybrid+Rerank,Q058,temporal,0.4495,0.2754,0.3672,0.5826,0.412
Hybrid+Rerank,Q059,impact_analysis,0.0665,0.0892,0.1938,0.7274,0.2981
Hybrid+Rerank,Q060,error_code,0.5304,0.5955,0.4584,0.7087,0.5923
Hybrid+Rerank,Q061,cross_scenario,0.4542,0.6041,0.4937,0.4963,0.5272
Hybrid+Rerank,Q062,cross_scenario,0.3507,0.4936,0.5079,0.5305,0.4861
Hybrid+Rerank,Q063,cross_scenario,0.1915,0.6167,0.309,0.6249,0.4938
Hybrid+Rerank,Q064,cross_scenario,0.511,0.4759,0.4695,0.3587,0.4447
Hybrid+Rerank,Q065,contrastive,0.3618,0.4016,0.256,0.6403,0.4381
Hybrid+Iter,Q001,root_cause,0.6649,0.7683,0.661,0.2643,0.5801
Hybrid+Iter,Q002,failure_tracing,0.234,0.6354,0.4138,0.5035,0.4913
Hybrid+Iter,Q003,multi_hop,0.5114,0.5757,0.4949,0.52,0.5332
Hybrid+Iter,Q004,temporal,0.5878,0.6264,0.4623,0.5593,0.5677
Hybrid+Iter,Q005,impact_analysis,0.4307,0.4261,0.2568,0.6419,0.4577
Hybrid+Iter,Q006,error_code,0.3249,0.5152,0.436,0.743,0.5391
Hybrid+Iter,Q007,root_cause,0.327,0.4851,0.3231,0.7459,0.5072
Hybrid+Iter,Q008,failure_tracing,0.1423,0.1725,0.1186,0.4754,0.248
Hybrid+Iter,Q009,multi_hop,0.1908,0.4941,0.4188,0.6931,0.4932
Hybrid+Iter,Q010,temporal,0.3363,0.5804,0.3207,0.6723,0.5194
Hybrid+Iter,Q011,impact_analysis,0.2177,0.3656,0.3814,0.6027,0.4177
Hybrid+Iter,Q012,error_code,0.5308,0.5223,0.5231,0.7514,0.5925
Hybrid+Iter,Q013,root_cause,0.2647,0.3286,0.2984,0.4612,0.3528
Hybrid+Iter,Q014,failure_tracing,0.0749,0.0,0.15,0.7113,0.2546
Hybrid+Iter,Q015,multi_hop,0.4405,0.5457,0.245,0.5674,0.4763
Hybrid+Iter,Q016,temporal,0.2141,0.1123,0.3563,0.4571,0.2798
Hybrid+Iter,Q017,impact_analysis,0.1927,0.5163,0.4265,0.4849,0.4404
Hybrid+Iter,Q018,error_code,0.3253,0.3092,0.3579,0.4934,0.3766
Hybrid+Iter,Q019,root_cause,0.3099,0.4482,0.3101,0.3528,0.3712
Hybrid+Iter,Q020,failure_tracing,0.302,0.1635,0.2925,0.5358,0.3218
Hybrid+Iter,Q021,multi_hop,0.0279,0.2004,0.2409,0.796,0.3613
Hybrid+Iter,Q022,temporal,0.3492,0.4268,0.3337,0.695,0.477
Hybrid+Iter,Q023,impact_analysis,0.2768,0.2532,0.309,0.7028,0.4028
Hybrid+Iter,Q024,error_code,0.408,0.5764,0.2425,0.5058,0.4632
Hybrid+Iter,Q025,root_cause,0.4944,0.4412,0.4401,0.6921,0.5243
Hybrid+Iter,Q026,failure_tracing,0.4314,0.6884,0.4296,0.5454,0.5552
Hybrid+Iter,Q027,multi_hop,0.2332,0.5279,0.3813,0.8101,0.539
Hybrid+Iter,Q028,temporal,0.4744,0.5693,0.3448,0.42,0.4654
Hybrid+Iter,Q029,impact_analysis,0.293,0.2396,0.3553,0.7983,0.4384
Hybrid+Iter,Q030,error_code,0.2838,0.6422,0.4905,0.7944,0.6038
Hybrid+Iter,Q031,root_cause,0.3015,0.3613,0.2133,0.7475,0.4386
Hybrid+Iter,Q032,failure_tracing,0.1836,0.4103,0.3073,0.6781,0.436
Hybrid+Iter,Q033,multi_hop,0.35,0.4988,0.518,0.8142,0.575
Hybrid+Iter,Q034,temporal,0.3391,0.5188,0.4759,0.6971,0.5367
Hybrid+Iter,Q035,impact_analysis,0.3081,0.3795,0.4128,0.4108,0.3848
Hybrid+Iter,Q036,error_code,0.5369,0.6986,0.4049,0.6629,0.6049
Hybrid+Iter,Q037,root_cause,0.4674,0.429,0.471,0.6149,0.4989
Hybrid+Iter,Q038,failure_tracing,0.5023,0.36,0.451,0.5333,0.4515
Hybrid+Iter,Q039,multi_hop,0.2495,0.5054,0.3516,0.6793,0.4884
Hybrid+Iter,Q040,temporal,0.5181,0.446,0.3821,0.5512,0.4756
Hybrid+Iter,Q041,impact_analysis,0.0213,0.3656,0.3859,0.4992,0.3581
Hybrid+Iter,Q042,error_code,0.6933,0.7952,0.3989,0.4409,0.5944
Hybrid+Iter,Q043,root_cause,0.3176,0.3255,0.1894,0.3825,0.3142
Hybrid+Iter,Q044,failure_tracing,0.2379,0.4423,0.3064,0.6769,0.4549
Hybrid+Iter,Q045,multi_hop,0.246,0.4805,0.3691,0.7187,0.4945
Hybrid+Iter,Q046,temporal,0.4075,0.4862,0.2901,0.7787,0.5229
Hybrid+Iter,Q047,impact_analysis,0.2267,0.3153,0.1917,0.5933,0.3607
Hybrid+Iter,Q048,error_code,0.2916,0.3154,0.2695,0.6716,0.4095
Hybrid+Iter,Q049,root_cause,0.4964,0.5896,0.3857,0.5468,0.522
Hybrid+Iter,Q050,failure_tracing,0.3092,0.5644,0.4427,0.9313,0.6118
Hybrid+Iter,Q051,multi_hop,0.2745,0.5563,0.4911,0.4118,0.4577
Hybrid+Iter,Q052,temporal,0.3226,0.5352,0.3843,0.5374,0.4738
Hybrid+Iter,Q053,impact_analysis,0.4199,0.5221,0.5191,0.6951,0.5581
Hybrid+Iter,Q054,error_code,0.3286,0.3417,0.4082,0.5244,0.4079
Hybrid+Iter,Q055,root_cause,0.4336,0.5362,0.404,0.5872,0.5096
Hybrid+Iter,Q056,failure_tracing,0.5969,0.7001,0.4448,0.9118,0.6971
Hybrid+Iter,Q057,multi_hop,0.0,0.0315,0.0497,0.6755,0.2236
Hybrid+Iter,Q058,temporal,0.1478,0.4088,0.2717,0.6114,0.403
Hybrid+Iter,Q059,impact_analysis,0.3325,0.4988,0.3595,0.829,0.545
Hybrid+Iter,Q060,error_code,0.4013,0.5915,0.5253,0.4751,0.5148
Hybrid+Iter,Q061,cross_scenario,0.2575,0.395,0.2914,0.4692,0.3759
Hybrid+Iter,Q062,cross_scenario,0.3513,0.504,0.338,0.7183,0.5122
Hybrid+Iter,Q063,cross_scenario,0.3306,0.3199,0.5001,0.4856,0.4073
Hybrid+Iter,Q064,cross_scenario,0.6271,0.6526,0.6258,0.5344,0.6079
Hybrid+Iter,Q065,contrastive,0.2186,0.4835,0.2096,0.8378,0.4953
Full-System,Q001,root_cause,0.1933,0.3677,0.228,0.5751,0.3758
Full-System,Q002,failure_tracing,0.6419,0.7322,0.518,0.5076,0.6084
Full-System,Q003,multi_hop,0.3175,0.4139,0.2335,0.8931,0.5071
Full-System,Q004,temporal,0.3107,0.3685,0.418,0.6514,0.4546
Full-System,Q005,impact_analysis,0.5337,0.4521,0.4485,0.7376,0.5493
